,path,min_r,min_c,max_r,max_c,r_len,c_len,category,box_area,c_by_r,r_by_c
1067,/images/edcb4d77-a4d3-465d-9b59-eb3087766b1c.png,320,1451,424,1549,104,98,leukocyte,10192,0.9423076923076923,1.0612244897959184
1093,/images/edcb4d77-a4d3-465d-9b59-eb3087766b1c.png,158,201,296,339,138,138,trophozoite,19044,1.0,1.0
1107,/images/edcb4d77-a4d3-465d-9b59-eb3087766b1c.png,824,1219,931,1318,107,99,trophozoite,10593,0.9252336448598131,1.0808080808080809
1108,/images/edcb4d77-a4d3-465d-9b59-eb3087766b1c.png,676,1121,815,1239,139,118,trophozoite,16402,0.8489208633093526,1.1779661016949152
1110,/images/edcb4d77-a4d3-465d-9b59-eb3087766b1c.png,32,1185,201,1331,169,146,trophozoite,24674,0.863905325443787,1.1575342465753424
1182,/images/4411fea2-d785-4eeb-80c6-c739ab6114c4.png,729,231,860,388,131,157,ring,20567,1.1984732824427482,0.8343949044585988
1589,/images/7094c11a-1e62-4f98-894e-d17d138a88e9.png,443,760,589,891,146,131,trophozoite,19126,0.8972602739726028,1.1145038167938932
1626,/images/7094c11a-1e62-4f98-894e-d17d138a88e9.png,302,141,439,284,137,143,trophozoite,19591,1.0437956204379562,0.958041958041958
1627,/images/7094c11a-1e62-4f98-894e-d17d138a88e9.png,192,1416,317,1521,125,105,trophozoite,13125,0.84,1.1904761904761905
1628,/images/7094c11a-1e62-4f98-894e-d17d138a88e9.png,0,824,131,950,131,126,trophozoite,16506,0.9618320610687023,1.0396825396825398
1629,/images/7094c11a-1e62-4f98-894e-d17d138a88e9.png,246,828,332,911,86,83,trophozoite,7138,0.9651162790697675,1.036144578313253
1630,/images/7094c11a-1e62-4f98-894e-d17d138a88e9.png,633,1224,774,1346,141,122,trophozoite,17202,0.8652482269503546,1.1557377049180328
1906,/images/02ea7aa8-c142-4a3d-939f-e77689741341.png,70,431,218,590,148,159,schizont,23532,1.0743243243243243,0.9308176100628931
2067,/images/f3bd0fcc-647d-4ca0-8c43-a16bd6ea3878.png,274,668,427,801,153,133,trophozoite,20349,0.869281045751634,1.150375939849624
2242,/images/5bf91ff9-80df-49c0-9c3e-599357d95530.png,593,843,753,976,160,133,trophozoite,21280,0.83125,1.2030075187969924
2762,/images/a89cace5-c818-4f23-a432-052b3433b81e.png,492,77,635,195,143,118,trophozoite,16874,0.8251748251748252,1.2118644067796611
2820,/images/e79bd81b-f878-4bee-9be2-d91a722c031e.png,726,1007,857,1149,131,142,trophozoite,18602,1.083969465648855,0.9225352112676056
2821,/images/e79bd81b-f878-4bee-9be2-d91a722c031e.png,245,607,399,749,154,142,trophozoite,21868,0.922077922077922,1.0845070422535212
2822,/images/e79bd81b-f878-4bee-9be2-d91a722c031e.png,184,1322,324,1459,140,137,trophozoite,19180,0.9785714285714285,1.0218978102189782
2823,/images/e79bd81b-f878-4bee-9be2-d91a722c031e.png,687,383,791,496,104,113,trophozoite,11752,1.0865384615384615,0.9203539823008849
2831,/images/e79bd81b-f878-4bee-9be2-d91a722c031e.png,394,485,510,610,116,125,trophozoite,14500,1.0775862068965518,0.928
2880,/images/a1c140f9-75d7-42a3-b767-4c01a118892b.png,402,746,539,897,137,151,leukocyte,20687,1.102189781021898,0.9072847682119205
3163,/images/729a38d6-66db-48e5-a00d-7d90d224290f.png,864,427,1033,573,169,146,trophozoite,24674,0.863905325443787,1.1575342465753424
3237,/images/96596a68-8c95-43f3-b74e-e9506c235144.png,278,794,410,907,132,113,ring,14916,0.8560606060606061,1.168141592920354
3253,/images/96596a68-8c95-43f3-b74e-e9506c235144.png,943,656,1054,775,111,119,ring,13209,1.072072072072072,0.9327731092436975
3318,/images/b901c906-91be-48c4-88ec-2c527544a258.png,472,693,607,835,135,142,schizont,19170,1.0518518518518518,0.9507042253521126
3398,/images/fd1302e2-3cd2-4a1a-9c13-00f810a9c41b.png,789,610,895,726,106,116,ring,12296,1.0943396226415094,0.9137931034482759
3680,/images/8bd71314-e38a-4670-bb25-5cd6c9acb595.png,444,589,572,715,128,126,ring,16128,0.984375,1.0158730158730158
3681,/images/8bd71314-e38a-4670-bb25-5cd6c9acb595.png,265,567,383,695,118,128,ring,15104,1.0847457627118644,0.921875
3796,/images/3e764461-22ee-44d3-925d-cd658ff7d154.png,504,791,616,910,112,119,leukocyte,13328,1.0625,0.9411764705882353
3820,/images/3e764461-22ee-44d3-925d-cd658ff7d154.png,153,9,283,143,130,134,trophozoite,17420,1.0307692307692307,0.9701492537313433
3825,/images/3e764461-22ee-44d3-925d-cd658ff7d154.png,248,1454,376,1583,128,129,ring,16512,1.0078125,0.9922480620155039
3828,/images/3e764461-22ee-44d3-925d-cd658ff7d154.png,727,464,879,588,152,124,trophozoite,18848,0.8157894736842105,1.2258064516129032
3926,/images/f09acb0c-b270-4e91-99f8-410adfa7f34a.png,815,396,940,525,125,129,ring,16125,1.032,0.9689922480620154
4299,/images/882b91b7-5906-4091-bad4-688d4375eeb5.png,585,1239,707,1384,122,145,trophozoite,17690,1.1885245901639345,0.8413793103448276
4304,/images/882b91b7-5906-4091-bad4-688d4375eeb5.png,833,1113,949,1245,116,132,trophozoite,15312,1.1379310344827587,0.8787878787878788
4306,/images/882b91b7-5906-4091-bad4-688d4375eeb5.png,77,300,223,431,146,131,trophozoite,19126,0.8972602739726028,1.1145038167938932
4311,/images/882b91b7-5906-4091-bad4-688d4375eeb5.png,668,472,793,627,125,155,trophozoite,19375,1.24,0.8064516129032258
4368,/images/84041bf9-dace-4066-9fe0-52170d08f826.png,839,758,971,879,132,121,trophozoite,15972,0.9166666666666666,1.0909090909090908
4380,/images/84041bf9-dace-4066-9fe0-52170d08f826.png,857,96,980,242,123,146,ring,17958,1.1869918699186992,0.8424657534246576
4391,/images/84041bf9-dace-4066-9fe0-52170d08f826.png,639,1012,766,1150,127,138,trophozoite,17526,1.0866141732283465,0.9202898550724637
4400,/images/84041bf9-dace-4066-9fe0-52170d08f826.png,541,267,657,404,116,137,trophozoite,15892,1.1810344827586208,0.8467153284671532
4472,/images/cf90d82f-2814-4fb7-a3ff-a86b7c5efca7.png,816,709,954,843,138,134,trophozoite,18492,0.9710144927536232,1.0298507462686568
4588,/images/98efca97-37d2-4459-aca6-375ecc0c4539.png,505,1310,654,1433,149,123,ring,18327,0.825503355704698,1.2113821138211383
4610,/images/f1de7c7e-e7d3-45ae-a66c-58538bf6cac1.png,204,160,343,290,139,130,gametocyte,18070,0.935251798561151,1.0692307692307692
4655,/images/a2d07312-2f97-40d2-8b09-7f2aca7b16fb.png,98,381,240,544,142,163,schizont,23146,1.147887323943662,0.8711656441717791
4706,/images/b91b1641-ee06-44d8-94cc-24cdb583cc37.png,185,837,323,988,138,151,trophozoite,20838,1.0942028985507246,0.9139072847682119
4716,/images/b91b1641-ee06-44d8-94cc-24cdb583cc37.png,609,1243,738,1394,129,151,trophozoite,19479,1.1705426356589148,0.8543046357615894
4786,/images/3fa1a4e3-c80d-49da-8f7b-a1abb0424f48.png,184,921,308,1057,124,136,trophozoite,16864,1.096774193548387,0.9117647058823529
4798,/images/3fa1a4e3-c80d-49da-8f7b-a1abb0424f48.png,732,1022,849,1131,117,109,ring,12753,0.9316239316239316,1.073394495412844
4955,/images/755e5bf8-e8e1-492b-a32f-f7d87cccaa40.png,663,783,810,922,147,139,schizont,20433,0.9455782312925171,1.0575539568345325
4978,/images/2cc3c4ad-670f-41b6-8910-0704cbc192ef.png,199,1187,326,1312,127,125,ring,15875,0.984251968503937,1.016
5175,/images/a777e78c-ad1f-4380-9ab2-b4f9f32b2d78.png,237,892,385,1057,148,165,trophozoite,24420,1.114864864864865,0.896969696969697
5205,/images/16a51468-9f93-45df-9ae2-5a74c25c5a4b.png,263,395,400,539,137,144,schizont,19728,1.051094890510949,0.9513888888888888
5274,/images/729733ff-a349-4a96-b636-ccabe7d7e167.png,122,573,253,724,131,151,trophozoite,19781,1.1526717557251909,0.8675496688741722
5290,/images/729733ff-a349-4a96-b636-ccabe7d7e167.png,798,1471,916,1584,118,113,trophozoite,13334,0.9576271186440678,1.0442477876106195
5291,/images/729733ff-a349-4a96-b636-ccabe7d7e167.png,836,54,963,172,127,118,trophozoite,14986,0.9291338582677166,1.076271186440678
5292,/images/729733ff-a349-4a96-b636-ccabe7d7e167.png,106,1,201,101,95,100,trophozoite,9500,1.0526315789473684,0.95
5623,/images/afa470d9-c74c-41cd-b4dc-7bf93fde8263.png,1022,120,1154,243,132,123,ring,16236,0.9318181818181818,1.0731707317073171
5749,/images/21a50e4c-b750-46b5-801f-5429ede7dea9.png,848,929,991,1079,143,150,trophozoite,21450,1.048951048951049,0.9533333333333334
5843,/images/143f5959-5b6d-4f95-bcee-9e110450fc22.png,550,703,670,799,120,96,ring,11520,0.8,1.25
5881,/images/a30da226-b452-408a-a556-bfae4d521464.png,327,1360,443,1484,116,124,trophozoite,14384,1.0689655172413792,0.9354838709677419
5904,/images/a30da226-b452-408a-a556-bfae4d521464.png,943,616,1063,746,120,130,trophozoite,15600,1.0833333333333333,0.9230769230769231
5905,/images/a30da226-b452-408a-a556-bfae4d521464.png,555,304,716,442,161,138,trophozoite,22218,0.8571428571428571,1.1666666666666667
5906,/images/a30da226-b452-408a-a556-bfae4d521464.png,555,592,693,752,138,160,trophozoite,22080,1.1594202898550725,0.8625
6029,/images/72732579-a812-4496-b2dd-ea1556924337.png,23,354,163,517,140,163,trophozoite,22820,1.1642857142857144,0.8588957055214724
6032,/images/72732579-a812-4496-b2dd-ea1556924337.png,480,136,619,299,139,163,trophozoite,22657,1.1726618705035972,0.852760736196319
6033,/images/72732579-a812-4496-b2dd-ea1556924337.png,150,1244,283,1355,133,111,trophozoite,14763,0.8345864661654135,1.1981981981981982
6035,/images/72732579-a812-4496-b2dd-ea1556924337.png,175,607,326,759,151,152,trophozoite,22952,1.0066225165562914,0.993421052631579
6036,/images/72732579-a812-4496-b2dd-ea1556924337.png,349,755,485,925,136,170,trophozoite,23120,1.25,0.8
6037,/images/72732579-a812-4496-b2dd-ea1556924337.png,444,712,594,866,150,154,trophozoite,23100,1.0266666666666666,0.974025974025974
6048,/images/72732579-a812-4496-b2dd-ea1556924337.png,757,657,888,820,131,163,trophozoite,21353,1.2442748091603053,0.803680981595092
6049,/images/72732579-a812-4496-b2dd-ea1556924337.png,963,682,1106,848,143,166,trophozoite,23738,1.1608391608391608,0.8614457831325302
6096,/images/c147584d-4c61-412a-bdaf-b02b22c18708.png,1009,421,1155,544,146,123,schizont,17958,0.8424657534246576,1.1869918699186992
6109,/images/c147584d-4c61-412a-bdaf-b02b22c18708.png,49,603,218,749,169,146,schizont,24674,0.863905325443787,1.1575342465753424
6162,/images/27cdd837-e40f-491e-8adb-61e493189832.png,688,1254,833,1413,145,159,trophozoite,23055,1.096551724137931,0.9119496855345912
6226,/images/effd6334-516f-4d48-9f3c-5272a99780fb.png,80,1165,194,1268,114,103,ring,11742,0.9035087719298246,1.1067961165048543
6425,/images/1ecb0405-a6e9-4485-819e-2fbbf2b718aa.png,180,129,349,267,169,138,trophozoite,23322,0.8165680473372781,1.2246376811594204
6426,/images/1ecb0405-a6e9-4485-819e-2fbbf2b718aa.png,263,584,406,702,143,118,trophozoite,16874,0.8251748251748252,1.2118644067796611
6427,/images/1ecb0405-a6e9-4485-819e-2fbbf2b718aa.png,439,862,603,1003,164,141,trophozoite,23124,0.8597560975609756,1.1631205673758864
6559,/images/640c4a52-3742-4f57-aee3-9e3dc0887622.png,649,852,798,988,149,136,trophozoite,20264,0.912751677852349,1.0955882352941178
6735,/images/672e4ecf-a56b-462e-b83b-76f4efaa6634.png,608,303,741,447,133,144,trophozoite,19152,1.0827067669172932,0.9236111111111112
6759,/images/672e4ecf-a56b-462e-b83b-76f4efaa6634.png,94,152,225,276,131,124,trophozoite,16244,0.9465648854961832,1.0564516129032258
6808,/images/e36cb882-c6d0-4467-812e-d18c169a9a47.png,782,215,906,328,124,113,trophozoite,14012,0.9112903225806451,1.0973451327433628
6850,/images/b21f6c6e-4b45-407a-b4c7-034a115f3ee4.png,891,62,1028,210,137,148,ring,20276,1.0802919708029197,0.9256756756756757
6868,/images/b21f6c6e-4b45-407a-b4c7-034a115f3ee4.png,552,209,669,315,117,106,trophozoite,12402,0.905982905982906,1.1037735849056605
6932,/images/a9feccda-18f2-405e-9aa1-409fa1f49fe4.png,837,233,961,358,124,125,ring,15500,1.0080645161290323,0.992
6942,/images/a9feccda-18f2-405e-9aa1-409fa1f49fe4.png,50,924,174,1041,124,117,ring,14508,0.9435483870967742,1.0598290598290598
6944,/images/a9feccda-18f2-405e-9aa1-409fa1f49fe4.png,298,1155,433,1268,135,113,ring,15255,0.837037037037037,1.1946902654867257
6997,/images/c776eb78-3323-4571-b39f-7ffc73ae63ce.png,807,771,931,879,124,108,ring,13392,0.8709677419354839,1.1481481481481481
7047,/images/8be185e7-2a1a-441c-a5c7-b50a9eb926cb.png,244,128,360,264,116,136,trophozoite,15776,1.1724137931034482,0.8529411764705882
7086,/images/8be185e7-2a1a-441c-a5c7-b50a9eb926cb.png,401,1151,528,1290,127,139,trophozoite,17653,1.094488188976378,0.9136690647482014
7318,/images/89f10192-d3dd-4996-a571-4c851dbdc983.png,220,419,366,581,146,162,trophozoite,23652,1.1095890410958904,0.9012345679012346
7413,/images/76dbce7f-dc3e-4a29-b1fe-ab9dce583080.png,797,1288,912,1403,115,115,ring,13225,1.0,1.0
7508,/images/071901eb-4c3f-404b-a747-3d0b9d0a5158.png,62,130,170,238,108,108,leukocyte,11664,1.0,1.0
7549,/images/071901eb-4c3f-404b-a747-3d0b9d0a5158.png,421,823,546,971,125,148,trophozoite,18500,1.184,0.8445945945945946
7652,/images/21cc498b-8cb2-42ed-8f80-bfa27b86ef11.png,446,170,582,302,136,132,schizont,17952,0.9705882352941176,1.0303030303030303
7695,/images/9f959520-e15e-45c2-bc29-ef3c19154d1c.png,229,793,354,933,125,140,trophozoite,17500,1.12,0.8928571428571429
7697,/images/9f959520-e15e-45c2-bc29-ef3c19154d1c.png,824,1378,940,1523,116,145,trophozoite,16820,1.25,0.8
7718,/images/9f959520-e15e-45c2-bc29-ef3c19154d1c.png,476,230,617,350,141,120,trophozoite,16920,0.851063829787234,1.175
7724,/images/9f959520-e15e-45c2-bc29-ef3c19154d1c.png,883,491,1014,630,131,139,trophozoite,18209,1.0610687022900764,0.9424460431654677
7798,/images/e726dac6-f962-449c-acff-4dd56847b685.png,406,782,551,910,145,128,trophozoite,18560,0.8827586206896552,1.1328125
7815,/images/e726dac6-f962-449c-acff-4dd56847b685.png,973,1322,1087,1442,114,120,trophozoite,13680,1.0526315789473684,0.95
7817,/images/e726dac6-f962-449c-acff-4dd56847b685.png,325,357,458,475,133,118,trophozoite,15694,0.8872180451127819,1.1271186440677967
8212,/images/6bb4892c-27a9-4642-aba1-4b73f38f757c.png,471,1307,610,1443,139,136,gametocyte,18904,0.9784172661870504,1.0220588235294117
8450,/images/ae779806-6d01-4dc6-89df-294c368db6bc.png,667,1002,835,1139,168,137,trophozoite,23016,0.8154761904761905,1.2262773722627738
8502,/images/dfc026a9-079f-4f45-8666-e0ccba5bb437.png,990,1217,1117,1340,127,123,ring,15621,0.968503937007874,1.032520325203252
8781,/images/ae17a099-18b5-4a42-a901-850ea056423e.png,87,594,218,708,131,114,ring,14934,0.8702290076335878,1.1491228070175439
8797,/images/ae17a099-18b5-4a42-a901-850ea056423e.png,734,825,862,953,128,128,ring,16384,1.0,1.0
8820,/images/ae17a099-18b5-4a42-a901-850ea056423e.png,1033,498,1138,625,105,127,ring,13335,1.2095238095238094,0.8267716535433071
8838,/images/91827f1a-9b04-4ef0-972c-12e90e60c516.png,518,141,678,292,160,151,schizont,24160,0.94375,1.0596026490066226
8873,/images/29539cb0-1c52-46b2-9302-552f8349dc71.png,199,1116,297,1224,98,108,leukocyte,10584,1.1020408163265305,0.9074074074074074
8893,/images/29539cb0-1c52-46b2-9302-552f8349dc71.png,329,1290,467,1448,138,158,trophozoite,21804,1.144927536231884,0.8734177215189873
8899,/images/29539cb0-1c52-46b2-9302-552f8349dc71.png,390,1358,544,1514,154,156,trophozoite,24024,1.0129870129870129,0.9871794871794872
8904,/images/29539cb0-1c52-46b2-9302-552f8349dc71.png,474,675,616,818,142,143,trophozoite,20306,1.0070422535211268,0.993006993006993
8905,/images/29539cb0-1c52-46b2-9302-552f8349dc71.png,249,247,401,388,152,141,trophozoite,21432,0.9276315789473685,1.0780141843971631
8961,/images/04628a94-b674-469b-aff6-b476b70df87d.png,753,451,899,588,146,137,schizont,20002,0.9383561643835616,1.0656934306569343
8984,/images/ef815e3a-02a6-4cf8-9262-45bc74c50b00.png,508,603,610,708,102,105,leukocyte,10710,1.0294117647058822,0.9714285714285714
9038,/images/ef815e3a-02a6-4cf8-9262-45bc74c50b00.png,1031,755,1176,918,145,163,trophozoite,23635,1.1241379310344828,0.8895705521472392
9083,/images/21c2a8aa-407c-4569-8212-96fcafa84138.png,836,1322,964,1479,128,157,trophozoite,20096,1.2265625,0.8152866242038217
9216,/images/6e7ed596-1b76-4998-8147-a846d53d91c5.png,550,998,699,1152,149,154,schizont,22946,1.0335570469798658,0.9675324675324676
9456,/images/e3a4b3e7-9500-4b6c-a402-b6d3f45e714b.png,165,638,308,796,143,158,schizont,22594,1.1048951048951048,0.9050632911392406
9457,/images/e3a4b3e7-9500-4b6c-a402-b6d3f45e714b.png,256,1407,379,1554,123,147,schizont,18081,1.1951219512195121,0.8367346938775511
9644,/images/d997337e-e4a8-4ef0-b8ba-975e6c43b62c.png,964,1121,1110,1268,146,147,schizont,21462,1.0068493150684932,0.9931972789115646
9721,/images/53afd70c-08a7-4b9a-b137-7003b2ecbeab.png,835,952,959,1070,124,118,trophozoite,14632,0.9516129032258065,1.0508474576271187
9926,/images/b4261fa5-876d-48ea-b6da-ec7ca5b48fe2.png,259,180,379,312,120,132,trophozoite,15840,1.1,0.9090909090909091
9927,/images/b4261fa5-876d-48ea-b6da-ec7ca5b48fe2.png,939,1303,1097,1444,158,141,trophozoite,22278,0.8924050632911392,1.1205673758865249
9987,/images/b9ccf7ca-953f-4832-9575-5e70b2a8c224.png,359,1397,498,1540,139,143,trophozoite,19877,1.0287769784172662,0.972027972027972
9988,/images/b9ccf7ca-953f-4832-9575-5e70b2a8c224.png,875,304,1018,425,143,121,trophozoite,17303,0.8461538461538461,1.1818181818181819
10060,/images/26799d2b-a289-4eff-9218-0aad77e05e41.png,262,409,418,569,156,160,schizont,24960,1.0256410256410255,0.975
10154,/images/09ecf7be-28e2-4531-b9e2-07e01c44097d.png,571,1244,682,1358,111,114,ring,12654,1.027027027027027,0.9736842105263158
10263,/images/e3ea07d7-884a-412e-874a-40fd6b856736.png,728,301,862,468,134,167,ring,22378,1.2462686567164178,0.8023952095808383
10271,/images/f91670db-be74-474c-bd72-68120aed4756.png,246,942,359,1067,113,125,ring,14125,1.1061946902654867,0.904
10297,/images/f91670db-be74-474c-bd72-68120aed4756.png,886,540,1017,662,131,122,ring,15982,0.9312977099236641,1.0737704918032787
10664,/images/20d4f65e-6c63-433a-935c-d568d577967b.png,574,300,692,418,118,118,trophozoite,13924,1.0,1.0
10787,/images/2a02cec2-a09b-483a-ad38-14359a763fa4.png,217,434,345,567,128,133,trophozoite,17024,1.0390625,0.9624060150375939
10797,/images/2a02cec2-a09b-483a-ad38-14359a763fa4.png,1007,1392,1161,1526,154,134,trophozoite,20636,0.8701298701298701,1.1492537313432836
10813,/images/2a02cec2-a09b-483a-ad38-14359a763fa4.png,633,924,742,1051,109,127,trophozoite,13843,1.165137614678899,0.8582677165354331
10821,/images/2a02cec2-a09b-483a-ad38-14359a763fa4.png,130,1433,285,1589,155,156,trophozoite,24180,1.0064516129032257,0.9935897435897436
10822,/images/2a02cec2-a09b-483a-ad38-14359a763fa4.png,441,1457,579,1600,138,143,trophozoite,19734,1.036231884057971,0.965034965034965
10868,/images/b78b88f0-154a-4b54-8aaf-85d37a42a0f9.png,402,932,543,1075,141,143,schizont,20163,1.0141843971631206,0.986013986013986
10877,/images/b78b88f0-154a-4b54-8aaf-85d37a42a0f9.png,532,224,678,352,146,128,trophozoite,18688,0.8767123287671232,1.140625
11000,/images/c442e2d6-aaf9-417a-9905-4737a1115f33.png,226,290,370,406,144,116,trophozoite,16704,0.8055555555555556,1.2413793103448276
11093,/images/98175327-da9e-4e0c-8912-ee68490a4672.png,278,1029,408,1152,130,123,ring,15990,0.9461538461538461,1.056910569105691
11226,/images/6303f964-98ef-47c6-bb2d-283aa393f918.png,394,475,549,621,155,146,ring,22630,0.9419354838709677,1.0616438356164384
11349,/images/2f6224be-50d0-4e85-94ef-88315df561b6.png,1017,726,1156,842,139,116,trophozoite,16124,0.8345323741007195,1.1982758620689655
11355,/images/2f6224be-50d0-4e85-94ef-88315df561b6.png,390,858,504,972,114,114,leukocyte,12996,1.0,1.0
11368,/images/2f6224be-50d0-4e85-94ef-88315df561b6.png,265,958,401,1081,136,123,trophozoite,16728,0.9044117647058824,1.1056910569105691
11383,/images/2f6224be-50d0-4e85-94ef-88315df561b6.png,204,476,337,606,133,130,trophozoite,17290,0.9774436090225563,1.023076923076923
11871,/images/3cdcb09b-6a8c-43ca-b1d0-c1a289202f65.png,148,516,257,644,109,128,trophozoite,13952,1.1743119266055047,0.8515625
11872,/images/3cdcb09b-6a8c-43ca-b1d0-c1a289202f65.png,75,676,222,800,147,124,trophozoite,18228,0.8435374149659864,1.185483870967742
11887,/images/2e8d6a43-0110-4bf4-8e70-20567e513b81.png,837,143,965,273,128,130,ring,16640,1.015625,0.9846153846153847
11905,/images/2e8d6a43-0110-4bf4-8e70-20567e513b81.png,222,1102,352,1219,130,117,ring,15210,0.9,1.1111111111111112
11953,/images/f8a8b148-60e4-4a5c-ae19-941b19ec0846.png,550,1047,682,1169,132,122,ring,16104,0.9242424242424242,1.0819672131147542
11968,/images/f8a8b148-60e4-4a5c-ae19-941b19ec0846.png,916,945,1061,1065,145,120,ring,17400,0.8275862068965517,1.2083333333333333
12024,/images/ca16a5ad-b106-4e84-8a43-178710e854ba.png,310,716,473,861,163,145,ring,23635,0.8895705521472392,1.1241379310344828
12092,/images/984caf56-f400-4a29-be97-a4d6b9d1468d.png,269,541,418,692,149,151,trophozoite,22499,1.0134228187919463,0.9867549668874173
12445,/images/cc94eabb-a3dc-4cfc-9fff-55c76b5b4a71.png,1049,772,1184,912,135,140,trophozoite,18900,1.037037037037037,0.9642857142857143
12458,/images/cc94eabb-a3dc-4cfc-9fff-55c76b5b4a71.png,381,1340,501,1481,120,141,gametocyte,16920,1.175,0.851063829787234
12475,/images/cc94eabb-a3dc-4cfc-9fff-55c76b5b4a71.png,922,1283,1031,1414,109,131,trophozoite,14279,1.201834862385321,0.8320610687022901
12656,/images/5a043d69-f435-46d4-8691-395c1602a76a.png,854,1321,984,1465,130,144,gametocyte,18720,1.1076923076923078,0.9027777777777778
12728,/images/68442532-9cd2-4b42-9d4f-ddf8c13bb38c.png,578,972,729,1096,151,124,schizont,18724,0.8211920529801324,1.217741935483871
12825,/images/b634137b-bc8b-4e88-b0e3-b536ad6e7e18.png,877,1124,997,1272,120,148,trophozoite,17760,1.2333333333333334,0.8108108108108109
13045,/images/555c6ea2-c76c-4e71-af57-855d940c2b37.png,227,626,358,768,131,142,schizont,18602,1.083969465648855,0.9225352112676056
13093,/images/9691c57a-ccf8-47f9-a8e9-9a324974585b.png,348,258,487,427,139,169,schizont,23491,1.2158273381294964,0.8224852071005917
13375,/images/a7f1bbb1-6058-4642-bd66-cfb90dce762e.png,727,845,867,985,140,140,trophozoite,19600,1.0,1.0
13499,/images/370277f8-436b-4103-8210-b4feb5ab95ea.png,866,512,997,649,131,137,trophozoite,17947,1.0458015267175573,0.9562043795620438
13516,/images/370277f8-436b-4103-8210-b4feb5ab95ea.png,556,917,667,1019,111,102,trophozoite,11322,0.918918918918919,1.088235294117647
13594,/images/c0c3041f-78cd-46de-8e36-0a7dad0c04c4.png,441,535,582,692,141,157,schizont,22137,1.1134751773049645,0.8980891719745223
13619,/images/d47cd049-d78b-4ba3-a7d4-399be4dd1dde.png,417,433,583,572,166,139,schizont,23074,0.8373493975903614,1.1942446043165467
